2;16;4;7.70092e-05;6
2;16;4;1.90735e-05;6
2;16;4;1.40667e-05;6
2;16;4;1.5974e-05;6
2;32;5;1.69277e-05;11
2;64;6;2.09808e-05;18
2;1073741824;30;8.68805;54400028
2;1024;10;3.48091e-05;172
2;256;16;1.90735e-05;54
2;256;16;3.29018e-05;54
2;16;4;1.69277e-05;6
2;400;20;3.21865e-05;78
2;900;30;3.79086e-05;154
2;10000;100;8.91685e-05;1229
2;81000000;9000;0.456451;4724409
2;1048576;20;0.00251603;82025
2;1073741824;30;8.2418  1;54400028
2;1073741824;30;9.82601;54400028
2;1073741824;30;8.89679;54400028
2;4294967296;32;52.9102;203280221
2;4294967296;32;53.7279;203280221
2;1073741824;30;8.86583;54400028
2;32;5;1.00136e-05;11
2;32;5;1.00136e-05;11
2;16;4;9.77516e-06;6
2;16;4;1.00136e-05;6
2;16;4;1.5974e-05;6
2;16;4;2.19345e-05;6
2;16;4;1.88351e-05;6
2;16;4;2.31266e-05;6
2;16;4;2.40803e-05;6
2;16;4;2.59876e-05;6
2;16;4;2.31266e-05;6
2;16;4;1.81198e-05;6
2;16;4;1.50204e-05;6
2;64;6;3.69549e-05;18
2;4096;12;3.8147e-05;564
2;4096;12;3.69549e-05;564
2;4096;12;3.38554e-05;564
2;4096;12;3.69549e-05;564
